,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
424,Seviper,Charizard,Glaceon,Croagunk,Rhydon,Oshawott,Marowak,Murkrow,Bibarel,Porygon,Zebstrika,Lopunny,Garchomp,Slaking,Tyranitar,Haxorus,Passimian,Manectric,Gliscor,Tyrantrum,Noivern,Gardevoir,Salamence,Throh,Krookodile,Hydreigon,Jolteon,Flygon,Simisage,Clefable,Pidgeot
425,Budew,Chingling,Salazzle,Zoroark,Spewpa,Klinklang,Pinsir,Snorlax,Smoochum,Simisage,Hoppip,Metagross,Mienshao,Lucario,Charizard,Emboar,Mismagius,Infernape,Gallade,Hawlucha,Blaziken,Arcanine,Darmanitan,Delphox,Alakazam,Typhlosion,Houndoom,Ninetales,Simisear,Manectric,Absol
426,Zebstrika,Cascoon,Pikachu,Monferno,Stunfisk,Stoutland,Gabite,Munchlax,Bonsly,Arcanine,Chatot,Slaking,Tyranitar,Silvally,Gallade,Garchomp,Hydreigon,Alakazam,Kingdra,Rhyperior,Absol,Simipour,Miltank,Blaziken,Sharpedo,Gardevoir,Hawlucha,Typhlosion,Haxorus,Slowbro,Snorlax
427,Wingull,Dusknoir,Gallade,Abomasnow,Glameow,Leafeon,Elekid,Pachirisu,Manectric,Numel,Burmy,Hydreigon,Haxorus,Slaking,Simisage,Gliscor,Flygon,Salamence,Goodra,Alakazam,Delphox,Chesnaught,Gogoat,Dragalge,Metagross,Kangaskhan,Serperior,Garchomp,Kommo-o,Meganium,Darmanitan
428,Eelektross,Mantine,Slaking,Chingling,Probopass,Whiscash,Nidorina,Spearow,Oranguru,Nosepass,Dwebble,Torterra,Magnezone,Lickilicky,Tangrowth,Electivire,Magmortar,Yanmega,Abomasnow,Leafeon,Gliscor,Mamoswine,Gallade,Probopass,Froslass,Rotom,Glaceon,Snover,Mantyke,Lumineon,Mime Jr.
429,Delibird,Meditite,Crabrawler,Bastiodon,Toxapex,Drampa,Pidove,Jellicent,Venipede,Pelipper,Machop,Salamence,Gardevoir,Goodra,Metagross,Dragonite,Slaking,Floette,Swampert,Venusaur,Mismagius,Banette,Gothitelle,Decidueye,Garchomp,Drifblim,Altaria,Florges,Jellicent,Slurpuff,Hypno
430,Golurk,Bibarel,Noctowl,Milotic,Furfrou,Fraxure,Togekiss,Bronzor,Shieldon,Brionne,Bouffalant,Kommo-o,Crobat,Slaking,Kangaskhan,Metagross,Simisage,Stoutland,Goodra,Hitmonlee,Lucario,Mienshao,Skuntank,Garchomp,Greninja,Vaporeon,Jolteon,Milotic,Snorlax,Altaria,Manectric
431,Gigalith,Helioptile,Excadrill,Bellossom,Samurott,Dragonair,Grubbin,Stunfisk,Baltoy,Trubbish,Joltik,Bulbasaur,Panpour,Simipour,Munna,Musharna,Pidove,Tranquill,Unfezant,Blitzle,Simisear,Zebstrika,Boldore,Gigalith,Woobat,Swoobat,Drilbur,Excadrill,Audino,Timburr,Roggenrola
432,Hippopotas,Diggersby,Ferrothorn,Psyduck,Venomoth,Sneasel,Cranidos,Trumbeak,Gloom,Lapras,Vivillon,Volcarona,Slaking,Houndoom,Silvally,Porygon-Z,Lucario,Magmortar,Skuntank,Drapion,Emboar,Kangaskhan,Tyranitar,Infernape,Mienshao,Metagross,Scizor,Magnezone,Hariyama,Floette,Gardevoir
433,Ferrothorn,Bagon,Pidgey,Spearow,Wailmer,Meditite,Totodile,Rampardos,Tentacool,Skarmory,Infernape,Metagross,Milotic,Swampert,Blastoise,Banette,Garchomp,Salamence,Seismitoad,Aegislash,Slowbro,Starmie,Espeon,Floatzel,Greninja,Manectric,Bruxish,Politoed,Chandelure,Vaporeon,Blaziken
434,Watchog,Linoone,Rowlet,Azumarill,Chinchou,Koffing,Zweilous,Gabite,Metapod,Dugtrio,Carbink,Garchomp,Slaking,Floette,Kangaskhan,Gliscor,Togekiss,Pinsir,Leafeon,Altaria,Primarina,Hawlucha,Greninja,Florges,Gyarados,Mienshao,Silvally,Haxorus,Slurpuff,Lapras,Metagross
435,Fearow,Cofagrigus,Bewear,Delibird,Swellow,Larvesta,Reuniclus,Pikachu,Watchog,Golisopod,Lotad,Slaking,Goodra,Kommo-o,Tyranitar,Silvally,Salamence,Altaria,Charizard,Kangaskhan,Blastoise,Metagross,Floette,Chandelure,Gengar,Kadabra,Haxorus,Garchomp,Dragonite,Pinsir,Scyther
436,Darumaka,Paras,Scatterbug,Skuntank,Swanna,Binacle,Kadabra,Cacnea,Klefki,Roselia,Solrock,Tyranitar,Shiftry,Umbreon,Absol,Metagross,Excadrill,Klinklang,Bisharp,Pangoro,Spiritomb,Scrafty,Sableye,Cacturne,Scizor,Empoleon,Zorua,Mightyena,Houndoom,Liepard,Zweilous
437,Toucannon,Drowzee,Zangoose,Gyarados,Torchic,Palossand,Shiftry,Vibrava,Ralts,Pyroar,Bulbasaur,Salamence,Aerodactyl,Tyranitar,Slaking,Archeops,Gyarados,Garchomp,Rhyperior,Feraligatr,Primarina,Blastoise,Hydreigon,Swampert,Floatzel,Charizard,Espeon,Pidgeot,Kabutops,Seismitoad,Minior
438,Venipede,Weedle,Alakazam,Poliwhirl,Duskull,Slowpoke,Sigilyph,Garbodor,Ribombee,Kabuto,Lickitung,Slaking,Empoleon,Metagross,Lopunny,Salamence,Tyranitar,Kangaskhan,Scizor,Gengar,Mismagius,Manectric,Cryogonal,Noivern,Houndoom,Aegislash,Jellicent,Magnezone,Weavile,Incineroar,Greninja
439,Arcanine,Excadrill,Sunkern,Palpitoad,Shroomish,Charjabug,Pancham,Tangela,Scizor,Araquanid,Pumpkaboo,Metagross,Drifblim,Typhlosion,Emboar,Venusaur,Heatmor,Delphox,Arcanine,Klefki,Darmanitan,Arbok,Slaking,Flareon,Kingdra,Torracat,Skuntank,Venomoth,Magmortar,Banette,Volcarona
440,Psyduck,Durant,Luvdisc,Lickilicky,Escavalier,Mareanie,Larvitar,Zubat,Skiddo,Druddigon,Venusaur,Kommo-o,Metagross,Gardevoir,Scizor,Alakazam,Bisharp,Goodra,Arcanine,Glalie,Skarmory,Infernape,Espeon,Gallade,Kangaskhan,Pidgeot,Aegislash,Garchomp,Klinklang,Bronzong,Sigilyph
441,Empoleon,Toxapex,Carvanha,Gengar,Crustle,Spinarak,Bisharp,Clamperl,Klink,Golett,Ninjask,Blaziken,Lucario,Garchomp,Blastoise,Slaking,Salamence,Simipour,Gyarados,Primarina,Floette,Poliwrath,Emboar,Scizor,Infernape,Kingdra,Pignite,Walrein,Monferno,Flygon,Florges
442,Togedemaru,Flygon,Golurk,Whismur,Metagross,Tynamo,Crawdaunt,Glalie,Ariados,Nidoran♂,Pawniard,Samurott,Slaking,Politoed,Goodra,Blastoise,Scizor,Walrein,Poliwrath,Salamence,Kingdra,Vaporeon,Feraligatr,Ludicolo,Lanturn,Simipour,Lapras,Gyarados,Bisharp,Milotic,Decidueye
443,Snivy,Braviary,Electivire,Ledian,Gurdurr,Magnemite,Ferrothorn,Lanturn,Sneasel,Braixen,Shuckle,Lucario,Passimian,Salamence,Sawk,Camerupt,Kangaskhan,Heracross,Medicham,Venusaur,Slaking,Manectric,Goodra,Hydreigon,Mienshao,Nidoqueen,Swampert,Nidoking,Blaziken,Pidgeot,Hariyama
444,Kingdra,Hariyama,Mandibuzz,Cascoon,Tranquill,Cottonee,Bruxish,Spritzee,Snubbull,Jolteon,Rufflet,Manectric,Kangaskhan,Lopunny,Tyranitar,Swampert,Dhelmise,Decidueye,Trevenant,Slaking,Silvally,Gogoat,Gourgeist,Floette,Ferrothorn,Sceptile,Snorlax,Sylveon,Krookodile,Meganium,Bisharp
445,Froakie,Lileep,Shuckle,Froakie,Poliwag,Escavalier,Spinarak,Goodra,Vivillon,Sneasel,Magcargo,Garchomp,Lucario,Floette,Aerodactyl,Sawk,Florges,Salamence,Aggron,Steelix,Slaking,Wigglytuff,Klinklang,Metagross,Kommo-o,Lopunny,Haxorus,Scizor,Mawile,Tyranitar,Togekiss
446,Klefki,Diglett,Dedenne,Doublade,Armaldo,Beedrill,Larvitar,Amaura,Brionne,Kangaskhan,Cacnea,Metagross,Scizor,Magnezone,Aegislash,Garchomp,Slaking,Hariyama,Salamence,Bisharp,Heracross,Lucario,Machamp,Kommo-o,Tyranitar,Klinklang,Empoleon,Blaziken,Pinsir,Excadrill,Chandelure
447,Armaldo,Mr. Mime,Bonsly,Larvitar,Machoke,Beautifly,Nidorino,Quilava,Vibrava,Tyrunt,Pangoro,Kommo-o,Slaking,Toxicroak,Swampert,Garchomp,Hawlucha,Hitmonlee,Emboar,Blaziken,Floette,Samurott,Wailord,Blastoise,Venusaur,Gliscor,Seismitoad,Sawk,Leavanny,Goodra,Greninja
448,Breloom,Luxio,Donphan,Torkoal,Noctowl,Oddish,Tyrunt,Fraxure,Misdreavus,Accelgor,Shelgon,Garchomp,Alakazam,Excadrill,Slaking,Kangaskhan,Metagross,Goodra,Mismagius,Salamence,Klinklang,Gliscor,Aerodactyl,Pinsir,Floette,Porygon-Z,Togekiss,Manectric,Wigglytuff,Typhlosion,Sylveon
449,Dewott,Magnemite,Ralts,Clawitzer,Jumpluff,Vespiquen,Lillipup,Loudred,Seaking,Morelull,Spheal,Kangaskhan,Rotom,Dragonite,Toxicroak,Lucario,Garchomp,Skuntank,Mandibuzz,Drifblim,Floette,Slaking,Metagross,Walrein,Gyarados,Audino,Porygon2,Tyranitar,Miltank,Altaria,Bewear
450,Breloom,Gothorita,Bergmite,Meowstic,Natu,Malamar,Wormadam,Zubat,Victreebel,Ludicolo,Venomoth,Scizor,Slaking,Dragonite,Gengar,Charizard,Salamence,Altaria,Noivern,Braviary,Pidgeot,Volcarona,Garchomp,Archeops,Togekiss,Goodra,Houndoom,Hydreigon,Haxorus,Kommo-o,Arcanine
451,Swablu,Omastar,Talonflame,Zigzagoon,Lucario,Cofagrigus,Sableye,Kricketot,Munna,Ekans,Munchlax,Bisharp,Tyranitar,Slaking,Druddigon,Ursaring,Darmanitan,Salamence,Rhyperior,Ampharos,Vaporeon,Hippowdon,Braviary,Excadrill,Miltank,Meganium,Heatmor,Pangoro,Hydreigon,Aggron,Venusaur
452,Growlithe,Basculin,Boldore,Piplup,Scizor,Mightyena,Luxio,Reuniclus,Quilladin,Kirlia,Natu,Vaporeon,Pangoro,Galvantula,Gogoat,Kecleon,Florges,Stantler,Floette,Pyroar,Dragonite,Milotic,Simisear,Porygon2,Simipour,Quilava,Typhlosion,Totodile,Musharna,Tranquill,Talonflame
453,Togedemaru,Ledian,Mareanie,Empoleon,Sentret,Sewaddle,Litleo,Swablu,Jynx,Joltik,Clawitzer,Florges,Haxorus,Gallade,Zoroark,Alakazam,Slaking,Hydreigon,Tyranitar,Swanna,Drapion,Malamar,Tentacruel,Manectric,Absol,Metagross,Empoleon,Blastoise,Kangaskhan,Salamence,Honchkrow
454,Jumpluff,Trevenant,Grimer,Murkrow,Sigilyph,Fennekin,Whirlipede,Diggersby,Minccino,Bunnelby,Bewear,Kommo-o,Skarmory,Drifblim,Garchomp,Goodra,Scizor,Meowstic,Furfrou,Alakazam,Tyranitar,Froslass,Braviary,Seismitoad,Bisharp,Mienshao,Sawk,Lampent,Sigilyph,Tauros,Hydreigon
455,Dragalge,Timburr,Trevenant,Archeops,Snorlax,Poochyena,Clawitzer,Kirlia,Surskit,Excadrill,Magnemite,Garchomp,Lucario,Simisage,Leafeon,Swanna,Simipour,Gogoat,Gallade,Slaking,Talonflame,Charizard,Greninja,Salamence,Gyarados,Serperior,Lilligant,Leavanny,Starmie,Pinsir,Hawlucha
456,Combusken,Bellossom,Skiploom,Gible,Igglybuff,Igglybuff,Charjabug,Amoonguss,Cranidos,Foongus,Unfezant,Metagross,Alakazam,Sigilyph,Slaking,Salamence,Simisear,Blaziken,Gallade,Kangaskhan,Steelix,Gardevoir,Glalie,Tyranitar,Hydreigon,Chandelure,Magmar,Hawlucha,Silvally,Lopunny,Tyrantrum
457,Slowbro,Spearow,Furret,Bastiodon,Dodrio,Growlithe,Hitmontop,Lickitung,Torracat,Burmy,Trapinch,Kommo-o,Kingdra,Goodra,Miltank,Blaziken,Marshtomp,Swampert,Carbink,Dedenne,Mantine,Clawitzer,Barbaracle,Slaking,Furfrou,Medicham,Manectric,Gogoat,Sharpedo,Wailord,Dragalge
458,Darmanitan,Sandile,Frogadier,Combusken,Wigglytuff,Charmeleon,Rowlet,Trevenant,Shuppet,Avalugg,Mareep,Torterra,Gible,Spiritomb,Bronzong,Skuntank,Stunky,Honchkrow,Mismagius,Lopunny,Drifblim,Drifloon,Garchomp,Vespiquen,Bastiodon,Rampardos,Cranidos,Roserade,Kricketune,Empoleon,Prinplup
459,Darumaka,Turtonator,Cacnea,Excadrill,Avalugg,Zangoose,Diglett,Bronzong,Chingling,Goodra,Voltorb,Metagross,Gardevoir,Slaking,Lucario,Krookodile,Kangaskhan,Excadrill,Tyranitar,Blaziken,Floette,Sharpedo,Garchomp,Gallade,Steelix,Greninja,Goodra,Togekiss,Silvally,Archeops,Arcanine
460,Fearow,Electrike,Tranquill,Pikipek,Simipour,Golduck,Morelull,Tirtouga,Talonflame,Electabuzz,Barbaracle,Alakazam,Salamence,Manectric,Garchomp,Goodra,Kommo-o,Kangaskhan,Metagross,Kingdra,Espeon,Slaking,Greninja,Hydreigon,Starmie,Noivern,Flygon,Haxorus,Sliggoo,Blaziken,Druddigon
461,Sceptile,Dugtrio,Starmie,Joltik,Corphish,Nidoking,Simipour,Phione,Dewpider,Staravia,Magnezone,Alakazam,Salamence,Garchomp,Greninja,Simisage,Sharpedo,Serperior,Pinsir,Hydreigon,Gogoat,Slaking,Metagross,Decidueye,Kommo-o,Electabuzz,Manectric,Ludicolo,Venusaur,Leafeon,Whimsicott
462,Flaaffy,Cubchoo,Boldore,Omastar,Skarmory,Mandibuzz,Carracosta,Heracross,Bergmite,Dodrio,Lotad,Salamence,Metagross,Lucario,Slaking,Greninja,Gyarados,Floette,Gardevoir,Zebstrika,Alakazam,Manectric,Hawlucha,Sigilyph,Mimikyu,Swoobat,Dragonite,Delphox,Froslass,Lopunny,Chandelure
463,Solrock,Dustox,Shinx,Bulbasaur,Ferroseed,Meganium,Nidorino,Araquanid,Porygon-Z,Cutiefly,Floette,Slaking,Metagross,Arcanine,Silvally,Ninetales,Kangaskhan,Darmanitan,Volcarona,Blaziken,Typhlosion,Staraptor,Charizard,Sceptile,Glalie,Lopunny,Aerodactyl,Lucario,Magmar,Pyroar,Simisear
464,Torterra,Exploud,Spiritomb,Wurmple,Brionne,Doduo,Exploud,Magneton,Pawniard,Poliwhirl,Azumarill,Blastoise,Silvally,Slaking,Manectric,Leafeon,Kommo-o,Metagross,Electivire,Simisage,Kangaskhan,Passimian,Goodra,Serperior,Gardevoir,Garchomp,Simipour,Feraligatr,Sceptile,Swampert,Tyrantrum
465,Lairon,Eevee,Clefable,Seaking,Poliwag,Ledian,Baltoy,Darumaka,Mothim,Croagunk,Darumaka,Kommo-o,Floette,Pyroar,Qwilfish,Ursaring,Greninja,Frogadier,Mantine,Delphox,Politoed,Kingdra,Blaziken,Swampert,Heatmor,Braviary,Bouffalant,Bisharp,Gardevoir,Vigoroth,Tyranitar
466,Bagon,Volcarona,Breloom,Gabite,Spheal,Joltik,Sawsbuck,Raticate,Fennekin,Decidueye,Feebas,Salamence,Slaking,Hydreigon,Charizard,Noivern,Volcarona,Absol,Glalie,Kangaskhan,Scizor,Pinsir,Typhlosion,Crobat,Gardevoir,Weavile,Metagross,Altaria,Simisear,Drifblim,Goodra
467,Barboach,Fraxure,Roserade,Gible,Hoothoot,Poliwhirl,Darumaka,Marowak,Popplio,Dunsparce,Loudred,Gardevoir,Krookodile,Hydreigon,Garchomp,Slaking,Sigilyph,Swampert,Jellicent,Poliwrath,Lapras,Gyarados,Dragonite,Wailord,Starmie,Vaporeon,Samurott,Kingdra,Kommo-o,Kangaskhan,Passimian
468,Bayleef,Kingdra,Spoink,Mismagius,Nidoqueen,Greninja,Woobat,Dartrix,Croconaw,Delcatty,Gulpin,Lopunny,Accelgor,Salamence,Manectric,Sceptile,Kommo-o,Hydreigon,Dragonite,Haxorus,Ninjask,Slaking,Venusaur,Goodra,Meganium,Ferrothorn,Altaria,Sawsbuck,Tsareena,Garchomp,Gyarados
469,Heracross,Rufflet,Houndour,Snivy,Skorupi,Umbreon,Simisage,Pangoro,Gabite,Maractus,Snorlax,Hawlucha,Salamence,Chesnaught,Lucario,Venusaur,Pinsir,Mienshao,Charizard,Slaking,Heracross,Venomoth,Altaria,Beedrill,Arcanine,Togekiss,Mandibuzz,Aerodactyl,Scizor,Garchomp,Dragonite
470,Cacturne,Conkeldurr,Patrat,Flareon,Ponyta,Grimer,Bewear,Miltank,Trapinch,Oranguru,Marshtomp,Metagross,Salamence,Blaziken,Tyranitar,Scizor,Decidueye,Lucario,Espeon,Florges,Slaking,Dhelmise,Passimian,Gothitelle,Gardevoir,Venusaur,Mismagius,Aegislash,Delphox,Poliwrath,Swampert
471,Bounsweet,Conkeldurr,Pidgeotto,Squirtle,Rampardos,Monferno,Excadrill,Mismagius,Tirtouga,Rockruff,Maractus,Garchomp,Gyarados,Gliscor,Slaking,Sceptile,Hawlucha,Infernape,Aerodactyl,Gligar,Blaziken,Greninja,Sigilyph,Starmie,Swanna,Metagross,Sharpedo,Lucario,Espeon,Dragonite,Altaria
472,Gastly,Electrode,Chimecho,Skiddo,Gengar,Cloyster,Leafeon,Machop,Dodrio,Staryu,Burmy,Metagross,Lucario,Slaking,Salamence,Noivern,Drifblim,Dragonite,Tauros,Lopunny,Scizor,Garchomp,Muk,Kangaskhan,Salazzle,Pidgeot,Delphox,Scolipede,Houndoom,Klinklang,Blaziken
473,Timburr,Shieldon,Snover,Sableye,Drilbur,Delphox,Swablu,Lunatone,Seedot,Tympole,Incineroar,Blastoise,Tyranitar,Mandibuzz,Krookodile,Hydreigon,Seismitoad,Garchomp,Swampert,Milotic,Honchkrow,Sharpedo,Skuntank,Crawdaunt,Gyarados,Pinsir,Bisharp,Incineroar,Shiftry,Absol,Zoroark
474,Bergmite,Clefable,Illumise,Togepi,Tangela,Shedinja,Electrike,Caterpie,Gurdurr,Carracosta,Yanmega,Floette,Gengar,Metagross,Tentacruel,Sylveon,Klefki,Ampharos,Salamence,Slaking,Blastoise,Milotic,Magneton,Silvally,Slurpuff,Espeon,Muk,Noivern,Goodra,Dedenne,Eelektross
475,Camerupt,Wormadam,Charjabug,Monferno,Togekiss,Ledian,Walrein,Skiploom,Delphox,Torchic,Gengar,Bisharp,Salamence,Alakazam,Absol,Aerodactyl,Tyranitar,Garchomp,Houndoom,Skuntank,Hydreigon,Gengar,Tauros,Mismagius,Greninja,Umbreon,Krookodile,Slaking,Sharpedo,Incineroar,Gyarados
476,Monferno,Carracosta,Dewott,Aipom,Bastiodon,Stufful,Kabutops,Slugma,Magneton,Flabébé,Tyranitar,Garchomp,Hitmonlee,Swampert,Primeape,Kommo-o,Gallade,Excadrill,Flygon,Sawk,Krookodile,Venusaur,Seismitoad,Chesnaught,Blastoise,Floette,Simipour,Whiscash,Feraligatr,Goodra,Dugtrio
477,Machoke,Bergmite,Butterfree,Beautifly,Klefki,Gorebyss,Makuhita,Lileep,Kecleon,Grovyle,Shuckle,Torterra,Swalot,Servine,Hypno,Scizor,Emboar,Stoutland,Pansage,Simisage,Simisear,Muk,Conkeldurr,Exploud,Cacturne,Slaking,Rapidash,Masquerain,Darmanitan,Maractus,Sigilyph
478,Slakoth,Boldore,Mamoswine,Dewpider,Mantyke,Servine,Emolga,Seedot,Electrike,Whismur,Cubchoo,Houndoom,Kangaskhan,Meowstic,Gardevoir,Tauros,Vileplume,Goodra,Salamence,Infernape,Slaking,Metagross,Dragalge,Delphox,Garchomp,Jynx,Porygon-Z,Espeon,Hydreigon,Absol,Pinsir
479,Steenee,Zigzagoon,Wormadam,Swoobat,Vikavolt,Machop,Tsareena,Klinklang,Tynamo,Slaking,Skitty,Metagross,Sceptile,Lucario,Salamence,Slaking,Archeops,Aggron,Mienshao,Passimian,Hawlucha,Darmanitan,Aegislash,Charizard,Kommo-o,Greninja,Chandelure,Kangaskhan,Decidueye,Hariyama,Tyrantrum
480,Magby,Bewear,Wartortle,Herdier,Duosion,Chimecho,Gumshoos,Kabutops,Salandit,Electrike,Glaceon,Metagross,Gardevoir,Slaking,Kangaskhan,Tyranitar,Floette,Lucario,Excadrill,Swampert,Houndoom,Blaziken,Manectric,Greninja,Alakazam,Scizor,Klinklang,Altaria,Espeon,Silvally,Gengar
481,Bounsweet,Ninetales,Togekiss,Charizard,Corphish,Dragonite,Mudbray,Clefairy,Hitmontop,Roselia,Tyrantrum,Mr. Mime,Alakazam,Gardevoir,Haxorus,Xatu,Metagross,Goodra,Heracross,Kingdra,Slaking,Mamoswine,Floette,Scizor,Kommo-o,Cryogonal,Hydreigon,Glalie,Garchomp,Flygon,Grumpig
482,Typhlosion,Zangoose,Mienshao,Exploud,Chingling,Gabite,Dragonite,Pichu,Cacturne,Binacle,Sudowoodo,Florges,Slaking,Klefki,Sylveon,Clefable,Klinklang,Haxorus,Salamence,Hydreigon,Floette,Aerodactyl,Scizor,Metagross,Mr. Mime,Lucario,Durant,Toxicroak,Kangaskhan,Slurpuff,Blaziken
483,Sealeo,Shinx,Sunkern,Slowbro,Pidove,Nincada,Bronzong,Riolu,Floette,Girafarig,Flabébé,Simisear,Metagross,Volcarona,Excadrill,Slaking,Tentacruel,Charizard,Arcanine,Magmar,Delphox,Greninja,Simipour,Gliscor,Gardevoir,Typhlosion,Salazzle,Kangaskhan,Sharpedo,Crobat,Magnezone
484,Fraxure,Dustox,Gogoat,Carvanha,Wailmer,Baltoy,Meditite,Mismagius,Glalie,Toxicroak,Herdier,Slaking,Gallade,Kangaskhan,Porygon-Z,Metagross,Alakazam,Archeops,Tauros,Floatzel,Gyarados,Lucario,Silvally,Tyranitar,Charizard,Aerodactyl,Manectric,Bisharp,Typhlosion,Infernape,Lopunny
485,Huntail,Pineco,Magby,Exploud,Hitmontop,Zangoose,Marill,Oricorio,Cutiefly,Mudkip,Starmie,Absol,Gengar,Salamence,Hydreigon,Pidgeot,Tyranitar,Slaking,Kangaskhan,Simipour,Electrode,Sharpedo,Drapion,Haxorus,Starmie,Floatzel,Silvally,Empoleon,Jellicent,Ampharos,Greninja
486,Scatterbug,Noivern,Morelull,Dewpider,Croconaw,Noctowl,Sandygast,Elgyem,Mudbray,Noivern,Cutiefly,Slaking,Weavile,Gardevoir,Alakazam,Floette,Empoleon,Tyranitar,Klefki,Glalie,Aerodactyl,Florges,Crobat,Primarina,Lapras,Lopunny,Manectric,Jolteon,Salamence,Dedenne,Audino
487,Pidgeotto,Oshawott,Mismagius,Lumineon,Stunky,Tangela,Altaria,Crabrawler,Bellsprout,Ariados,Arbok,Metagross,Slaking,Gardevoir,Klinklang,Kangaskhan,Glalie,Froslass,Haxorus,Cinccino,Salamence,Unfezant,Tyranitar,Miltank,Sigilyph,Porygon-Z,Magneton,Togedemaru,Arcanine,Klefki,Floette
488,Carvanha,Amaura,Sandslash,Bewear,Mudbray,Petilil,Meowth,Abra,Salandit,Rhyperior,Absol,Greninja,Hawlucha,Slaking,Lucario,Scrafty,Noivern,Kangaskhan,Crobat,Garchomp,Lopunny,Silvally,Salamence,Pangoro,Hydreigon,Krookodile,Primeape,Infernape,Swellow,Pidgeot,Miltank
489,Phione,Cofagrigus,Kabuto,Combee,Hitmonlee,Arbok,Araquanid,Noivern,Cleffa,Tepig,Glameow,Gardevoir,Tyranitar,Gengar,Metagross,Manectric,Alakazam,Slaking,Magnezone,Aerodactyl,Snorlax,Aggron,Crobat,Jolteon,Mr. Mime,Greninja,Lapras,Audino,Weavile,Dewgong,Cryogonal
490,Squirtle,Floette,Fearow,Amoonguss,Bronzor,Ampharos,Aerodactyl,Dedenne,Pelipper,Snorlax,Dewott,Swampert,Garchomp,Slaking,Metagross,Rhyperior,Krookodile,Kangaskhan,Seismitoad,Venusaur,Gardevoir,Flygon,Archeops,Tyranitar,Silvally,Bewear,Alakazam,Pidgeot,Manectric,Tangrowth,Lucario
491,Armaldo,Decidueye,Escavalier,Golbat,Honedge,Xatu,Torterra,Pidgeotto,Salandit,Empoleon,Lumineon,Electivire,Jolteon,Manectric,Hydreigon,Raichu,Garchomp,Dedenne,Slaking,Zebstrika,Electrode,Luxray,Sceptile,Minun,Gyarados,Kangaskhan,Typhlosion,Gallade,Electabuzz,Lucario,Galvantula
492,Pumpkaboo,Golem,Shuckle,Grimer,Pidgeot,Marshtomp,Zebstrika,Koffing,Starly,Scatterbug,Murkrow,Floette,Tyranitar,Salamence,Swampert,Slaking,Simisage,Hydreigon,Goodra,Kangaskhan,Umbreon,Garchomp,Sawsbuck,Altaria,Haxorus,Glalie,Silvally,Tangrowth,Emboar,Dragonite,Gogoat
493,Shroomish,Houndoom,Gorebyss,Mudsdale,Minun,Gloom,Bidoof,Vigoroth,Shellos,Spinarak,Gligar,Kommo-o,Snorlax,Crustle,Dragonair,Dragonite,Darmanitan,Krookodile,Quilava,Typhlosion,Whimsicott,Infernape,Leavanny,Furret,Linoone,Seismitoad,Empoleon,Gurdurr,Audino,Excadrill,Crobat
494,Hippowdon,Fletchinder,Sentret,Klefki,Panpour,Butterfree,Bounsweet,Riolu,Mimikyu,Munchlax,Tyrunt,Greninja,Tyranitar,Kangaskhan,Sharpedo,Weavile,Slaking,Mismagius,Gardevoir,Scizor,Metagross,Glalie,Miltank,Lucario,Porygon-Z,Blastoise,Delphox,Wigglytuff,Snorlax,Stoutland,Braviary
495,Weavile,Cleffa,Shuckle,Magnemite,Geodude,Beautifly,Deino,Jigglypuff,Turtwig,Sneasel,Lucario,Floette,Crobat,Salamence,Hawlucha,Slurpuff,Manectric,Florges,Granbull,Noivern,Emboar,Heracross,Togekiss,Sylveon,Clefable,Aerodactyl,Garchomp,Gyarados,Lucario,Salazzle,Swampert
496,Golduck,Shedinja,Chinchou,Bibarel,Gligar,Inkay,Primarina,Golett,Litleo,Poliwhirl,Beldum,Metagross,Lanturn,Goodra,Politoed,Decidueye,Feraligatr,Primarina,Heracross,Gardevoir,Slaking,Kingdra,Electivire,Gyarados,Electabuzz,Blastoise,Vaporeon,Kangaskhan,Simipour,Hydreigon,Milotic
497,Metagross,Weezing,Carnivine,Snubbull,Persian,Parasect,Inkay,Gogoat,Golbat,Sandygast,Teddiursa,Torterra,Patrat,Samurott,Dewott,Emboar,Pignite,Serperior,Servine,Snivy,Phione,Rotom,Froslass,Dusknoir,Gallade,Porygon-Z,Yanmega,Magmortar,Tangrowth,Riolu,Lucario
498,Ralts,Maractus,Meowstic,Hitmontop,Honedge,Skorupi,Unfezant,Lickitung,Numel,Klinklang,Ninjask,Magnezone,Metagross,Slaking,Empoleon,Garchomp,Charizard,Blaziken,Darmanitan,Salamence,Gallade,Swampert,Gyarados,Kangaskhan,Arcanine,Houndoom,Lucario,Electivire,Jellicent,Lanturn,Typhlosion
499,Clamperl,Seismitoad,Swadloon,Yanma,Tyrogue,Manectric,Pupitar,Blaziken,Baltoy,Fearow,Tyrunt,Swampert,Seismitoad,Garchomp,Flygon,Metagross,Whiscash,Alakazam,Kommo-o,Goodra,Manectric,Salamence,Golurk,Tyranitar,Gardevoir,Slaking,Claydol,Donphan,Palossand,Sceptile,Gliscor
500,Mime Jr.,Houndoom,Drifblim,Pidgeotto,Basculin,Murkrow,Swellow,Golett,Sentret,Pachirisu,Glaceon,Manectric,Tyranitar,Greninja,Metagross,Jolteon,Aerodactyl,Lopunny,Aurorus,Froslass,Slaking,Snorlax,Electrode,Mimikyu,Tyrantrum,Darmanitan,Aggron,Ampharos,Gigalith,Lycanroc,Bisharp
